date,title,id,views,subs,videoCount
2021-06-02,Arthur Weintraub,UCmnSD245HC6yT_ABIIfEcNQ,475619.0,38300.0,82.0
2021-06-02,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,232697947.0,3400000.0,2828.0
2021-06-02,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,69029814.0,859000.0,1668.0
2021-06-02,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,26946978.0,326000.0,1580.0
2021-06-02,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,52851266.0,299000.0,1257.0
2021-06-02,Carla Zambelli,UCX9VzlP1DyeasSivEr9Eddw,43686716.0,474000.0,2681.0
2021-06-02,Parents For Healthcare Rights,UCKt-o4gMYO7FH2MLkynIphA,7044586.0,13200.0,410.0
2021-06-02,What's going on?,UCIQWl7Vsw2BkNF3IDp7W_sg,9751.0,149.0,20.0
2021-06-02,A Taste of Medicine,UCUL6210K8wHs1nenNh5gtAA,42426.0,201.0,11.0
2021-06-02,Pascal Juang MD,UCrfOP0dgfFhxAYILfsHKGiw,5855.0,238.0,23.0
2021-06-02,Dr. John Campbell,UCF9IOB2TExg3QIBupFtBDxg,155241594.0,983000.0,1724.0
2021-06-02,MedCram - Medical Lectures Explained CLEARLY,UCG-iSMVtWbbwDDXgXXypARQ,97661327.0,1100000.0,348.0
2021-06-02,OVALmedia in English,UCtx0AYvGYw4uxug_zPAfVIA,850407.0,13800.0,55.0
2021-06-02,Dr. Hong's Pharmacy Classroom,UCFbWA0wLcQk3eoRv6nIb-1A,95703.0,1390.0,89.0
2021-06-02,Whiteboard Doctor,UCiMhM7xCTT8b5SJRnhpH7Ag,1659346.0,22100.0,399.0
2021-06-02,Drbeen Medical Lectures,UCrtd2wePvAl6RN_D-9jWVQQ,24061849.0,313000.0,1007.0
2021-06-02,"F. Perry Wilson, MD",UCu4OHd94MHqjlMp_Mgks84w,1345484.0,11300.0,369.0
2021-06-02,Triggernometry,UC7oPkqeHTwuOZ5CZ-R9f-6w,23949232.0,246000.0,324.0
2021-06-02,OH MY GOD,UC78Iz691HisenUxRwnFkk1Q,163801.0,945.0,447.0
2021-06-02,PANDA,UCDdN8LSNc3onvOyCd_UR5wg,104180.0,4310.0,33.0
2021-06-02,Mercola,UCxscQY7X0mtnaCbkGTjZ17g,104493411.0,389000.0,2531.0
2021-06-02,Erin Elizabeth at Health Nut News,UC85x4iQIC8JENyLy6xRsF8Q,5316120.0,48000.0,526.0
